School_Year,Semester,Course,total_enrollees,Year_Level,Enrollees_Count,Start_Year,Department,Semester_Order,Lag_1_Enrollees,Rolling_Mean_3,Rolling_Std_3,Growth_Rate,Year_Semester_Interaction,Time_Index,Enrollment_Trend,Dept_Enrollment_Ratio,Semester_Sin,Semester_Cos,ARIMA_Residual,Actual_Enrollment
2019-2020,2nd,BSBA-FINANCIAL_MANAGEMENT,274,4th_year,71,2019,BA,2,60.0,64.66666666666667,5.686240703077315,0.18333333333333335,4038,4,-2.0945054945054946,0.13345864661651627,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-MARKETING_MANAGEMENT,258,1st_year,62,2019,BA,2,91.0,69.33333333333333,19.087517736293876,-0.31868131868131866,4038,4,-6.153846153846151,0.11654135338343673,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-MARKETING_MANAGEMENT,258,2nd_year,13,2019,BA,2,54.0,51.333333333333336,37.072002014098636,-0.7592592592592593,4038,4,-3.325274725274725,0.024436090225559315,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-MARKETING_MANAGEMENT,258,3rd_year,80,2019,BA,2,63.0,69.0,9.539392014169456,0.26984126984126977,4038,4,-3.008791208791208,0.15037593984959577,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-MARKETING_MANAGEMENT,258,4th_year,103,2019,BA,2,68.0,75.66666666666667,24.419937209856485,0.5147058823529411,4038,4,-3.353846153846154,0.19360902255635457,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSCS,35,1st_year,15,2019,CS,2,17.0,13.666666666666666,4.1633319989322635,-0.11764705882352944,4038,4,-0.5120879120879123,0.4285714285702041,-2.4492935982947064e-16,1.0,-2.782596067921965,15.0
2019-2020,2nd,BSCS,35,2nd_year,4,2019,CS,2,20.0,11.666666666666666,8.020806277010642,-0.8,4038,4,-0.1142857142857144,0.11428571428538775,-2.4492935982947064e-16,1.0,-10.217641761305266,4.0
2019-2020,2nd,BSCS,35,3rd_year,8,2019,CS,2,5.0,6.0,1.7320508075688763,0.6000000000000001,4038,4,0.9142857142857144,0.2285714285707755,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSCS,35,4th_year,8,2019,CS,2,2.0,8.666666666666666,7.023769168568493,1.0,4038,4,2.050549450549451,0.2285714285707755,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSIT,307,1st_year,72,2019,IT,2,150.0,99.0,44.19275958796871,-0.52,4038,4,-7.7120879120879176,0.23452768729634055,-2.4492935982947064e-16,1.0,-76.16966002660436,72.0
2019-2020,2nd,BSIT,307,2nd_year,38,2019,IT,2,47.0,61.0,32.357379374726875,-0.19148936170212771,4038,4,-3.461538461538462,0.12377850162862418,-2.4492935982947064e-16,1.0,7.0641101170777,38.0
2019-2020,2nd,BSIT,307,3rd_year,88,2019,IT,2,78.0,89.33333333333333,12.055427546683413,0.1282051282051282,4038,4,-2.167032967032967,0.2866449511399718,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSIT,307,4th_year,109,2019,IT,2,96.0,94.33333333333333,15.567059238447493,0.13541666666666674,4038,4,-2.5340659340659353,0.3550488599347378,-2.4492935982947064e-16,1.0,0.0,
2020-2021,1st,BSBA-FINANCIAL_MANAGEMENT,184,1st_year,29,2020,BA,1,53.0,58.666666666666664,32.86842456421258,-0.4528301886792453,2020,5,-6.303296703296706,0.07880434782606555,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-FINANCIAL_MANAGEMENT,184,2nd_year,52,2020,BA,1,14.0,36.333333333333336,19.8578280114753,1.0,2020,5,-3.0791208791208793,0.14130434782604856,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-FINANCIAL_MANAGEMENT,184,3rd_year,41,2020,BA,1,136.0,80.66666666666667,49.3997300937296,-0.6985294117647058,2020,5,-3.773626373626375,0.1114130434782306,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-FINANCIAL_MANAGEMENT,184,4th_year,62,2020,BA,1,71.0,64.33333333333333,5.859465277082303,-0.12676056338028174,2020,5,-2.0945054945054946,0.16847826086951945,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-MARKETING_MANAGEMENT,184,1st_year,35,2020,BA,1,62.0,62.666666666666664,28.00595174839329,-0.4354838709677419,2020,5,-6.153846153846151,0.09510869565214806,1.2246467991473532e-16,-1.0,0.0,
